# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Oct 22 09:05:46 2024
#
# User preference: *
#
# CONSTRAINT:  where (default_flag = 1
# CONSTRAINT:  and pl_controv_flag = 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,default_flag,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,st_spectype,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,sy_dist,sy_disterr1,sy_disterr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
11 Com b,1,Radial Velocity,2007,0,323.21000000,0.06000000,-0.05000000,0,1.178000,0.000000,0.000000,0,,,,,4914.89849,39.09289,-39.72855,0,G8 III,13.76,2.85,-2.45,0,2.09,0.64,-0.63,0,93.1846000,1.9238000,-1.9238000,4.4403800,0.0038479,-0.0038479
11 UMi b,1,Radial Velocity,2009,0,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,,,,,4684.81420,794.57500,-794.57500,0,,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,125.3210000,1.9765000,-1.9765000,4.5621600,0.0039035,-0.0039035
14 And b,1,Radial Velocity,2008,0,186.76000000,0.11000000,-0.12000000,0,0.775000,0.000000,0.000000,0,,,,,1131.15130,36.23244,-38.77507,0,K0 III,11.55,1.12,-0.51,0,1.78,0.43,-0.29,0,75.4392000,0.7140000,-0.7140000,4.9178100,0.0028262,-0.0028262
14 Her b,1,Radial Velocity,2002,0,1765.03890000,1.67709000,-1.87256000,0,2.774000,0.109000,-0.120000,0,,,,,2559.47216,518.69596,-280.64248,0,,,,,,0.91,0.11,-0.11,0,17.9323000,0.0073000,-0.0073000,6.3830000,0.0003512,-0.0003512
16 Cyg B b,1,Radial Velocity,1996,0,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,,,,,565.73740,25.42640,-25.42640,0,,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,21.1397000,0.0110000,-0.0111000,6.0642800,0.0006029,-0.0006029
17 Sco b,1,Radial Velocity,2020,0,578.38000000,2.01000000,-2.09000000,0,1.450000,0.020000,-0.020000,0,,,,,1373.01872,47.67426,-38.13941,0,K3 III,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0,124.9530000,2.5900000,-2.5900000,4.7542900,0.0050550,-0.0050550
18 Del b,1,Radial Velocity,2008,0,982.85000000,1.06000000,-0.92000000,0,2.476000,0.002000,-0.002000,0,,,,,2926.24614,50.85255,-24.47279,0,G6 III,8.80,0.61,-0.40,0,2.10,0.13,-0.09,0,76.2220000,0.6217000,-0.6217000,5.2747600,0.0026539,-0.0026539
1RXS J160929.1-210524 b,1,Imaging,2008,0,,,,,330.000000,,,0,,,,,3000.00000,300.00000,-300.00000,0,K7 V,,,,,0.85,0.20,-0.10,0,139.1350000,1.3320000,-1.3070000,12.0572000,0.0022750,-0.0022750
24 Boo b,1,Radial Velocity,2018,0,30.33000000,0.00000000,-0.01000000,0,0.194000,0.000000,0.000000,0,,,,,280.64248,11.44182,-13.66662,0,G3 IV,12.19,1.45,-1.28,0,1.05,0.27,-0.18,0,95.9863000,0.6368500,-0.6368500,5.3339000,0.0019998,-0.0019998
24 Sex b,1,Radial Velocity,2010,0,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,,,,,632.46000,82.63000,-120.77000,0,,4.90,0.08,-0.08,0,1.54,0.08,-0.08,0,72.0691000,0.6854000,-0.6728000,6.2037400,0.0004976,-0.0004976
